#Time(ms)	States	Instructions	GC Time	Speed(st/s)
568	50	18	85	0
880	100	37	30	160
977	150	55	49	515
1072	200	62	43	526
1133	250	79	30	819
1189	300	109	29	892
1237	350	138	26	1041
1294	400	146	29	877
1357	450	157	35	793
1405	500	171	30	1041
1492	550	180	31	574
1549	600	194	33	877
1619	650	202	42	714
1689	700	207	43	714
1752	750	211	40	793
1834	800	214	51	609
1891	850	218	39	877
1945	900	221	34	925
2009	950	225	43	781
2059	1000	229	36	1000
2113	1050	232	36	925
2174	1100	234	37	819
2242	1150	238	44	735
2309	1200	239	43	746
2375	1250	241	44	757
2429	1300	246	42	925
2491	1350	248	45	806
2545	1400	254	44	925
2629	1450	256	60	595
2686	1500	258	47	877
2735	1550	263	39	1020
2787	1600	266	43	961
2838	1650	266	40	980
2889	1700	271	39	980
2949	1750	271	47	833
3017	1800	281	47	735
3065	1850	281	39	1041
3124	1900	285	46	847
3177	1950	287	43	943
3233	2000	291	47	892
3293	2050	294	48	833
3344	2100	296	41	980
3392	2150	301	40	1041
3448	2200	301	46	892
3505	2250	306	43	877
3561	2300	310	43	892
3621	2350	310	49	833
3697	2400	316	61	657
3757	2450	324	49	833
3814	2500	324	45	877
3877	2550	326	53	793
3937	2600	338	49	833
3993	2650	338	45	892
4053	2700	344	45	833
4117	2750	344	46	781
4185	2800	354	56	735
4273	2850	354	75	568
4333	2900	358	51	833
4389	2950	358	46	892
4461	3000	364	54	694
4517	3050	364	47	892
4589	3100	372	56	694
4649	3150	372	51	833
4721	3200	373	61	694
4809	3250	376	77	568
4881	3300	378	54	694
4945	3350	381	54	781
5021	3400	381	59	657
5093	3450	382	58	694
5165	3500	382	63	694
5263	3550	390	85	510
5339	3600	392	57	657
5401	3650	393	53	806
5469	3700	393	57	735
5534	3750	394	55	769
5605	3800	402	59	704
5689	3850	405	59	595
5759	3900	405	54	714
5821	3950	409	53	806
5901	4000	409	66	625
5997	4050	409	85	520
6066	4100	413	55	724
6129	4150	413	53	793
6209	4200	413	62	625
6305	4250	414	63	520
6381	4300	414	64	657
6464	4350	414	64	602
6541	4400	417	65	649
6625	4450	418	72	595
6733	4500	418	97	462
6803	4550	418	60	714
6885	4600	418	68	609
6970	4650	418	74	588
7045	4700	421	59	666
7117	4750	424	60	694
7233	4800	424	94	431
7317	4850	425	73	595
7397	4900	425	70	625
7477	4950	425	69	625
7557	5000	425	70	625
7633	5050	425	64	657
7729	5100	425	85	520
7813	5150	426	74	595
7905	5200	435	71	543
7977	5250	435	63	694
8057	5300	435	69	625
8129	5350	436	62	694
8213	5400	436	73	595
8297	5450	441	67	595
8413	5500	441	107	431
8513	5550	442	86	500
8601	5600	442	70	568
8680	5650	443	70	632
8756	5700	447	65	657
8829	5750	447	64	684
8931	5800	447	82	490
9009	5850	447	68	641
9086	5900	449	67	649
9165	5950	449	70	632
9257	6000	449	81	543
9337	6050	453	71	625
9429	6100	454	78	543
9517	6150	454	77	568
9613	6200	454	87	520
9693	6250	454	69	625
9777	6300	454	74	595
9861	6350	455	74	595
10010	6400	455	134	335
10153	6450	455	121	349
10274	6500	455	112	413
10413	6550	456	120	359
10509	6600	456	87	520
10598	6650	456	72	561
10676	6700	459	69	641
10757	6750	459	70	617
10848	6800	459	78	549
10928	6850	459	67	625
11002	6900	459	62	675
11125	6950	463	79	406
11213	7000	464	79	568
11305	7050	468	71	543
11389	7100	468	74	595
11489	7150	468	89	500
11593	7200	468	94	480
11681	7250	468	77	568
11773	7300	468	81	543
11921	7350	471	131	337
12072	7400	471	141	331
12217	7450	478	127	344
12317	7500	482	88	500
12407	7550	482	81	555
12513	7600	482	87	471
12594	7650	482	65	617
12705	7700	482	81	450
12789	7750	482	74	595
12908	7800	488	109	420
12993	7850	488	74	588
13077	7900	495	74	595
13165	7950	497	78	568
13259	8000	497	85	531
13353	8050	498	80	531
13437	8100	498	75	595
13537	8150	499	83	500
13641	8200	499	95	480
13737	8250	507	85	520
13829	8300	507	81	543
13917	8350	513	78	568
14025	8400	520	90	462
14165	8450	520	131	357
14314	8500	523	137	335
14462	8550	523	139	337
14580	8600	523	108	423
14677	8650	523	82	515
14762	8700	529	77	588
14853	8750	538	82	549
14953	8800	538	89	500
15069	8850	543	93	431
15165	8900	543	85	520
15249	8950	544	70	595
15361	9000	548	90	446
15457	9050	548	86	520
15613	9100	549	142	320
15709	9150	549	85	520
15813	9200	552	94	480
15914	9250	560	78	495
16013	9300	565	87	505
16113	9350	566	88	500
16233	9400	566	109	416
16337	9450	569	94	480
16433	9500	577	86	520
16533	9550	577	92	500
16712	9600	583	168	279
16869	9650	583	146	318
17025	9700	583	145	320
17141	9750	586	102	431
17253	9800	589	104	446
17349	9850	590	86	520
17449	9900	590	90	500
17545	9950	593	86	520
17685	10000	595	129	357
17771	10050	595	75	581
17885	10100	600	86	438
17981	10150	602	82	520
18097	10200	602	107	431
18205	10250	615	89	462
18309	10300	615	89	480
18409	10350	623	84	500
18549	10400	624	130	357
18673	10450	624	97	403
18792	10500	624	105	420
18889	10550	627	84	515
19017	10600	627	109	390
19129	10650	628	102	446
19241	10700	630	101	446
19361	10750	630	109	416
19477	10800	634	101	431
19573	10850	636	84	520
19669	10900	639	87	520
19773	10950	645	93	480
19888	11000	648	104	434
19993	11050	648	97	476
20089	11100	649	85	520
20187	11150	650	84	510
20309	11200	650	102	409
20404	11250	655	80	526
20497	11300	655	80	537
20588	11350	656	79	549
20733	11400	656	114	344
20865	11450	656	107	378
20981	11500	663	107	431
21089	11550	670	99	462
21209	11600	670	103	416
21309	11650	670	90	500
21433	11700	671	101	403
21537	11750	671	94	480
21651	11800	671	103	438
21749	11850	672	88	510
21904	11900	672	145	322
22013	11950	674	97	458
22133	12000	675	106	416
22231	12050	675	89	510
22329	12100	682	84	510
22423	12150	687	82	531
22536	12200	687	98	442
22633	12250	687	83	515
22727	12300	690	84	531
22832	12350	700	88	476
22942	12400	700	98	454
23039	12450	701	85	515
23135	12500	703	85	520
23232	12550	703	85	515
23341	12600	704	99	458
23438	12650	704	86	515
23537	12700	704	87	505
23633	12750	709	86	520
23746	12800	711	101	442
23845	12850	711	87	505
23946	12900	711	86	495
24059	12950	720	90	442
24172	13000	720	102	442
24268	13050	720	87	520
24367	13100	721	88	505
24466	13150	721	89	505
24576	13200	721	103	454
24675	13250	723	88	505
24775	13300	723	89	500
24893	13350	723	97	423
25016	13400	727	106	406
25116	13450	728	89	500
25220	13500	728	90	480
25316	13550	728	88	520
25437	13600	739	104	413
25539	13650	739	92	490
25645	13700	739	91	471
25744	13750	739	90	505
25858	13800	743	105	438
25962	13850	743	91	480
26062	13900	744	90	500
26165	13950	744	93	485
26297	14000	744	114	378
26433	14050	744	118	367
26535	14100	747	94	490
26640	14150	747	93	476
26760	14200	747	109	416
26868	14250	747	92	462
26968	14300	747	92	500
27072	14350	760	93	480
27195	14400	760	109	406
27301	14450	760	94	471
27407	14500	760	94	471
27512	14550	762	94	476
27638	14600	762	111	396
27739	14650	762	94	495
27901	14700	783	106	308
28021	14750	783	107	416
28157	14800	783	125	367
28269	14850	783	103	446
28385	14900	783	105	431
28505	14950	783	108	416
28641	15000	783	124	367
28757	15050	783	108	431
28945	15100	784	176	265
29065	15150	784	110	416
29213	15200	784	137	337
29328	15250	785	106	434
29445	15300	785	105	427
29565	15350	785	110	416
29697	15400	785	123	378
29848	15450	788	134	331
29973	15500	788	106	400
30094	15550	788	103	413
30218	15600	788	116	403
30333	15650	788	101	434
30443	15700	788	100	454
30581	15750	788	109	362
30713	15800	788	125	378
30837	15850	788	113	403
30977	15900	788	128	357
31107	15950	788	110	384
31231	16000	790	116	403
31344	16050	790	101	442
31456	16100	790	101	446
31569	16150	790	102	442
31700	16200	790	116	381
31812	16250	790	102	446
31940	16300	790	109	390
32077	16350	790	115	364
32221	16400	791	126	347
32341	16450	791	109	416
32469	16500	791	116	390
32589	16550	791	111	416
32729	16600	791	132	357
32861	16650	791	119	378
32992	16700	791	120	381
33137	16750	791	126	344
33273	16800	791	127	367
33401	16850	791	117	390
33533	16900	791	121	378
33665	16950	791	121	378
33801	17000	791	128	367
33945	17050	791	122	347
34085	17100	791	129	357
34301	17150	791	205	231
34545	17200	791	236	204
34769	17250	791	202	223
34980	17300	791	200	236
35209	17350	791	209	218
35401	17400	791	184	260
35537	17450	791	124	367
35665	17500	791	117	390
35797	17550	791	121	378
35941	17600	791	136	347
36070	17650	791	115	387
36210	17700	791	120	357
36337	17750	791	116	393
36553	17800	791	208	231
36685	17850	791	115	378
36829	17900	791	123	347
36957	17950	791	116	390
37101	18000	791	137	347
37283	18050	791	169	274
37401	18100	791	107	423
37527	18150	791	109	396
37660	18200	791	124	375
37782	18250	791	108	409
37901	18300	791	108	420
38020	18350	791	108	420
38152	18400	791	125	378
38291	18450	791	118	359
38433	18500	791	121	352
38565	18550	791	122	378
38725	18600	791	152	312
38848	18650	791	112	406
38989	18700	791	120	354
39121	18750	793	120	378
39271	18800	793	140	333
39417	18850	793	126	342
39601	18900	793	169	271
39733	18950	793	122	378
39885	19000	793	141	328
40017	19050	793	121	378
40149	19100	793	118	378
40297	19150	793	129	337
40449	19200	793	138	328
40593	19250	793	133	347
40797	19300	793	193	245
41040	19350	793	225	205
41193	19400	793	142	326
41393	19450	793	184	250
41573	19500	796	173	277
41769	19550	796	175	255
41985	19600	798	201	231
42179	19650	805	173	257
42379	19700	805	187	250
42569	19750	805	180	263
42797	19800	805	202	219
42997	19850	805	179	250
43201	19900	805	184	245
43385	19950	805	176	271
43597	20000	805	201	235
43793	20050	805	178	255
43933	20100	805	130	357
44086	20150	805	137	326
44353	20200	805	255	187
44609	20250	805	234	195
44857	20300	805	235	201
45085	20350	805	217	219
45361	20400	805	266	181
45606	20450	805	234	204
45769	20500	805	141	306
45909	20550	808	123	357
46077	20600	808	147	297
46209	20650	808	123	378
46349	20700	811	129	357
46549	20750	811	186	250
46725	20800	812	151	284
46860	20850	812	121	370
46989	20900	812	116	387
47129	20950	815	121	357
47301	21000	815	144	290
47457	21050	815	132	320
47597	21100	815	129	357
47737	21150	815	129	357
47900	21200	815	155	306
48053	21250	815	135	326
48217	21300	815	139	304
48469	21350	815	236	198
48709	21400	815	229	208
48844	21450	815	128	370
48981	21500	815	121	364
49118	21550	815	122	364
49274	21600	815	140	320
49403	21650	815	118	387
49529	21700	818	117	396
49664	21750	818	120	370
49825	21800	818	144	310
49985	21850	824	129	312
50147	21900	824	141	308
50277	21950	824	120	384
50445	22000	824	153	297
50580	22050	824	122	370
50719	22100	824	125	359
50855	22150	824	122	367
51010	22200	824	142	322
51137	22250	825	119	393
51271	22300	825	121	373
51415	22350	825	126	347
51586	22400	825	151	292
51721	22450	825	122	370
51855	22500	825	123	373
51983	22550	825	120	390
52144	22600	825	145	310
52286	22650	825	127	352
52425	22700	825	124	359
52583	22750	825	132	316
52734	22800	825	142	331
52885	22850	825	131	331
53052	22900	825	145	299
53201	22950	825	129	335
53362	23000	833	144	310
53501	23050	833	125	359
53629	23100	833	121	390
53763	23150	836	123	373
53934	23200	836	151	292
54082	23250	836	130	337
54220	23300	836	125	362
54357	23350	836	126	364
54506	23400	841	142	335
54648	23450	841	127	352
54797	23500	841	131	335
54947	23550	841	131	333
55111	23600	841	148	304
55249	23650	841	125	362
55385	23700	841	125	367
55560	23750	841	141	285
55732	23800	841	152	290
55875	23850	841	128	349
56022	23900	841	131	340
56153	23950	841	123	381
56314	24000	841	150	310
56461	24050	841	130	340
56625	24100	841	137	304
56762	24150	845	128	364
56929	24200	845	151	299
57063	24250	846	125	373
57212	24300	846	129	335
57363	24350	846	133	331
57539	24400	846	157	284
57696	24450	846	131	318
57839	24500	846	129	349
57974	24550	846	126	370
58139	24600	846	151	303
58291	24650	846	135	328
58447	24700	846	136	320
58590	24750	846	132	349
58746	24800	846	148	320
58882	24850	847	126	367
59033	24900	847	133	331
59188	24950	847	136	322
59359	25000	847	155	292
59499	25050	847	129	357
59634	25100	847	127	370
59782	25150	847	132	337
59981	25200	847	167	251
60150	25250	847	140	295
60290	25300	850	129	357
60433	25350	850	131	349
60591	25400	850	151	316
60744	25450	850	132	326
60904	25500	850	139	312
61070	25550	850	141	301
61238	25600	850	154	297
61397	25650	850	134	314
61531	25700	850	127	373
61676	25750	851	133	344
61850	25800	851	158	287
62011	25850	851	138	310
62164	25900	851	136	326
62311	25950	851	134	340
62471	26000	851	153	312
62616	26050	852	132	344
62771	26100	852	136	322
62941	26150	852	143	294
63115	26200	852	158	287
63261	26250	852	133	342
63399	26300	852	130	362
63539	26350	852	130	357
63715	26400	852	160	284
63873	26450	852	139	316
64033	26500	857	140	312
64176	26550	857	132	349
64342	26600	857	155	301
64481	26650	857	131	359
64632	26700	857	135	331
64792	26750	857	140	312
64975	26800	857	163	273
65116	26850	857	131	354
65263	26900	857	134	340
65400	26950	858	130	364
65576	27000	858	160	284
65742	27050	858	143	301
65908	27100	858	142	301
66058	27150	858	137	333
66224	27200	858	155	301
66364	27250	858	132	357
66512	27300	858	135	337
66681	27350	858	140	295
66864	27400	858	164	273
67019	27450	858	137	322
67165	27500	858	135	342
67301	27550	858	130	367
67471	27600	858	157	294
67626	27650	858	138	322
67787	27700	858	140	310
67940	27750	870	138	326
68109	27800	870	157	295
68251	27850	870	132	352
68397	27900	870	136	342
68549	27950	870	137	328
68735	28000	870	166	268
68897	28050	870	141	308
69041	28100	870	133	347
69192	28150	870	136	331
69354	28200	870	155	308
69521	28250	870	145	299
69713	28300	870	153	260
69909	28350	870	151	255
70105	28400	870	173	255
70273	28450	870	148	297
70425	28500	870	142	328
70601	28550	870	165	284
70897	28600	870	271	168
71204	28650	870	281	162
71405	28700	870	174	248
71645	28750	870	229	208
71917	28800	870	249	183
72145	28850	870	221	219
72389	28900	870	226	204
72641	28950	870	233	198
72917	29000	870	258	181
73165	29050	876	233	201
73409	29100	876	226	204
73653	29150	876	234	204
73925	29200	876	256	183
74181	29250	876	238	195
74445	29300	876	232	189
74705	29350	876	233	192
74973	29400	878	256	186
75225	29450	878	230	198
75453	29500	878	221	219
75701	29550	878	237	201
75969	29600	878	253	186
76169	29650	878	164	250
76377	29700	878	185	240
76660	29750	878	273	176
77003	29800	878	321	145
77278	29850	878	268	181
77578	29900	878	278	166
77887	29950	878	283	161
78249	30000	878	333	138
78561	30050	878	285	160
78762	30100	878	179	248
78932	30150	878	159	294
79103	30200	878	160	292
79255	30250	878	138	328
79423	30300	878	146	297
79593	30350	878	147	294
79772	30400	885	165	279
79949	30450	885	149	282
80101	30500	885	143	328
80256	30550	885	145	322
80465	30600	885	180	239
80669	30650	885	174	245
80993	30700	887	283	154
81281	30750	887	276	173
81569	30800	887	272	173
81725	30850	887	147	320
82001	30900	887	264	181
82297	30950	887	263	168
82613	31000	887	281	158
82901	31050	887	254	173
83185	31100	887	270	176
83473	31150	887	274	173
83773	31200	887	292	166
84073	31250	887	270	166
84377	31300	887	272	164
84701	31350	887	284	154
85033	31400	887	307	150
85333	31450	888	280	166
85625	31500	888	282	171
85909	31550	888	273	176
86233	31600	888	288	154
86545	31650	888	259	160
86737	31700	891	160	260
86919	31750	893	165	274
87270	31800	893	328	142
87549	31850	893	271	179
87845	31900	893	276	168
88157	31950	893	286	160
88525	32000	893	330	135
88724	32050	893	157	251
88882	32100	895	143	316
89040	32150	895	144	316
89214	32200	895	164	287
89363	32250	895	139	335
89526	32300	895	145	306
89701	32350	895	152	285
89901	32400	895	176	250
90066	32450	895	146	303
90219	32500	895	141	326
90397	32550	895	154	280
90581	32600	895	176	271
90769	32650	895	162	265
90949	32700	895	155	277
91169	32750	895	165	227
91457	32800	895	259	173
91753	32850	895	284	168
91945	32900	895	166	260
92173	32950	895	221	219
92449	33000	895	250	181
92701	33050	895	227	198
92965	33100	895	223	189
93217	33150	895	226	198
93481	33200	898	253	189
93733	33250	899	232	198
93965	33300	899	222	215
94213	33350	899	238	201
94513	33400	899	263	166
94785	33450	899	241	183
95046	33500	899	234	191
95305	33550	902	234	193
95569	33600	902	252	189
95821	33650	902	226	198
96061	33700	902	233	208
96313	33750	902	233	198
96597	33800	902	247	176
96813	33850	902	173	231
97025	33900	902	170	235
97321	33950	902	285	168
97690	34000	902	344	135
97981	34050	902	282	171
98293	34100	902	295	160
98621	34150	902	295	152
98993	34200	902	327	134
99193	34250	902	166	250
99389	34300	902	163	255
99557	34350	902	155	297
99766	34400	902	192	239
99918	34450	902	142	328
100089	34500	902	151	292
100271	34550	902	156	274
100475	34600	902	181	245
100653	34650	906	155	280
100812	34700	906	147	314
100975	34750	908	147	306
101152	34800	908	168	282
101311	34850	908	146	314
101489	34900	908	153	280
101680	34950	908	161	261
101887	35000	908	183	241
102054	35050	913	150	299
102214	35100	913	147	312
102379	35150	913	150	303
102557	35200	913	171	280
102734	35250	913	156	282
102903	35300	913	151	295
103091	35350	913	159	265
103296	35400	913	182	243
103463	35450	913	151	299
103633	35500	913	153	294
103799	35550	913	152	301
103978	35600	913	171	279
104150	35650	913	153	290
104321	35700	913	153	292
104509	35750	913	160	265
104714	35800	913	183	243
104883	35850	913	154	295
105049	35900	913	152	301
105230	35950	913	151	276
105412	36000	913	174	274
105589	36050	913	152	282
105770	36100	913	158	276
105958	36150	913	161	265
106170	36200	913	187	235
106340	36250	913	154	294
106505	36300	913	150	303
106673	36350	913	152	297
106858	36400	913	176	270
107033	36450	913	155	285
107213	36500	913	158	277
107408	36550	913	164	256
107621	36600	913	186	234
107786	36650	916	151	303
107972	36700	918	156	268
108136	36750	918	151	304
108322	36800	918	175	268
108500	36850	918	158	280
108683	36900	918	160	273
108882	36950	918	167	251
109096	37000	918	190	233
109259	37050	919	150	306
109432	37100	920	156	289
109591	37150	920	150	314
109780	37200	920	177	264
109960	37250	920	158	277
110145	37300	920	161	270
110360	37350	920	166	232
110578	37400	920	192	229
110747	37450	920	155	295
110927	37500	921	155	277
111087	37550	921	150	312
111275	37600	921	178	265
111460	37650	921	160	270
111637	37700	921	158	282
111834	37750	921	168	253
112045	37800	921	188	236
112223	37850	921	158	280
112387	37900	922	153	304
112558	37950	922	155	292
112746	38000	922	179	265
112923	38050	922	157	282
113101	38100	922	158	280
113294	38150	922	165	259
113510	38200	922	192	231
113696	38250	922	162	268
113866	38300	922	156	294
114048	38350	923	161	274
114231	38400	923	176	273
114402	38450	923	155	292
114581	38500	923	160	279
114785	38550	923	168	245
115000	38600	923	192	232
115190	38650	923	164	263
115360	38700	929	155	294
115536	38750	929	158	284
115722	38800	929	177	268
115892	38850	929	156	294
116071	38900	929	160	279
116253	38950	929	161	274
116475	39000	929	194	225
116658	39050	929	161	273
116847	39100	929	166	264
117015	39150	929	155	297
117229	39200	929	191	233
117394	39250	929	155	303
117572	39300	929	159	280
117751	39350	929	160	279
117974	39400	929	196	224
118166	39450	929	166	260
118357	39500	929	166	261
118526	39550	929	156	295
118717	39600	929	179	261
118878	39650	929	153	310
119061	39700	929	162	273
119243	39750	929	161	274
119469	39800	929	197	221
119661	39850	929	167	260
119847	39900	929	164	268
120024	39950	929	156	282
120219	40000	929	183	256
120381	40050	929	153	308
120563	40100	929	162	274
120753	40150	929	165	263
120977	40200	929	197	223
121167	40250	929	165	263
121353	40300	929	163	268
121522	40350	937	157	295
121718	40400	937	183	255
121881	40450	937	154	306
122056	40500	937	159	285
122258	40550	937	170	247
122479	40600	937	197	226
122669	40650	937	166	263
122860	40700	937	168	261
123038	40750	937	161	280
123232	40800	937	181	257
123395	40850	937	154	306
123565	40900	937	158	294
123764	40950	937	169	251
123988	41000	937	199	223
124178	41050	937	165	263
124367	41100	937	166	264
124547	41150	937	163	277
124743	41200	937	184	255
124908	41250	937	156	303
125078	41300	937	158	294
125286	41350	937	171	240
125506	41400	937	196	227
125693	41450	937	165	267
125892	41500	937	172	251
126078	41550	937	165	268
126285	41600	937	185	241
126456	41650	937	159	292
126624	41700	937	157	297
126823	41750	937	171	251
127048	41800	937	198	222
127248	41850	937	172	250
127456	41900	937	175	240
127645	41950	943	166	264
127843	42000	943	187	252
128013	42050	943	158	294
128181	42100	943	158	297
128383	42150	943	171	247
128604	42200	943	197	226
128811	42250	943	176	241
129020	42300	943	173	239
129208	42350	943	167	265
129414	42400	943	191	242
129584	42450	943	159	294
129749	42500	943	157	303
129958	42550	943	174	239
130189	42600	943	202	216
130394	42650	943	174	243
130597	42700	943	174	246
130789	42750	943	169	260
130992	42800	943	190	246
131170	42850	943	162	280
131336	42900	943	158	301
131528	42950	943	168	260
131771	43000	943	208	205
131984	43050	943	179	234
132182	43100	943	171	252
132394	43150	943	177	235
132596	43200	943	190	247
132769	43250	943	161	289
132937	43300	943	159	297
133125	43350	943	168	265
133351	43400	943	200	221
133554	43450	943	174	246
133768	43500	943	179	233
133965	43550	943	172	253
134183	43600	946	196	229
134363	43650	946	165	277
134529	43700	946	159	301
134722	43750	946	170	259
134947	43800	946	202	222
135158	43850	946	179	236
135372	43900	946	181	233
135571	43950	946	173	251
135776	44000	946	191	243
135957	44050	946	165	276
136125	44100	946	161	297
136324	44150	946	173	251
136549	44200	946	203	222
136757	44250	946	177	240
136981	44300	946	185	223
137172	44350	946	170	261
137384	44400	946	195	235
137561	44450	946	163	282
137731	44500	946	162	294
137940	44550	946	178	239
138168	44600	946	204	219
138371	44650	946	176	246
138595	44700	946	185	223
138782	44750	949	169	267
138988	44800	949	193	242
139172	44850	949	166	271
139342	44900	949	162	294
139559	44950	949	181	230
139789	45000	949	206	217
140002	45050	949	181	234
140233	45100	949	187	216
140427	45150	949	170	257
140629	45200	949	191	247
140808	45250	949	166	279
140988	45300	949	167	277
141195	45350	949	178	241
141441	45400	949	212	203
141648	45450	949	179	241
141878	45500	949	188	217
142068	45550	949	171	263
142276	45600	949	195	240
142455	45650	949	166	279
142642	45700	949	171	267
142854	45750	949	181	235
143088	45800	949	207	213
143302	45850	949	181	233
143533	45900	949	189	216
143728	45950	949	173	256
143938	46000	949	196	238
144119	46050	949	168	276
144291	46100	949	165	290
144495	46150	949	177	245
144728	46200	949	208	214
144939	46250	949	181	236
145161	46300	949	185	225
145366	46350	949	179	243
145574	46400	951	197	240
145751	46450	951	166	282
145932	46500	951	169	276
146127	46550	951	173	256
146368	46600	951	211	207
146576	46650	951	180	240
146779	46700	951	177	246
147008	46750	951	190	218
147230	46800	951	202	225
147410	46850	951	169	277
147592	46900	951	169	274
147777	46950	951	170	270
148022	47000	951	212	204
148222	47050	951	177	250
148427	47100	951	180	243
148655	47150	951	189	219
148878	47200	951	204	224
149062	47250	951	171	271
149242	47300	951	168	277
149423	47350	951	170	276
149675	47400	951	217	198
149880	47450	951	179	243
150091	47500	951	182	236
150332	47550	951	196	207
150572	47600	951	214	208
150756	47650	951	171	271
150943	47700	951	173	267
151117	47750	951	167	287
151343	47800	951	206	221
151558	47850	951	184	232
151763	47900	951	181	243
151968	47950	951	182	243
152239	48000	951	227	184
152448	48050	951	182	239
152631	48100	960	171	273
152817	48150	960	172	268
153021	48200	960	197	245
153219	48250	960	176	252
153425	48300	960	180	242
153632	48350	960	183	241
153873	48400	960	214	207
154115	48450	960	196	206
154322	48500	960	183	241
154506	48550	962	171	271
154720	48600	962	201	233
154897	48650	962	170	282
155108	48700	962	183	236
155316	48750	962	182	240
155556	48800	962	214	208
155768	48850	962	185	235
156000	48900	962	193	215
156224	48950	962	187	223
156437	49000	962	201	234
156622	49050	962	172	270
156800	49100	962	171	280
157005	49150	962	183	243
157241	49200	962	211	211
157449	49250	962	184	240
157653	49300	962	181	245
157874	49350	962	187	226
158123	49400	962	219	200
158311	49450	962	175	265
158498	49500	962	175	267
158676	49550	962	170	280
158905	49600	962	209	218
159134	49650	962	192	218
159351	49700	962	188	230
159561	49750	962	185	238
159811	49800	962	219	200
160028	49850	962	188	230
160217	49900	967	176	264
160409	49950	967	177	260
160624	50000	967	205	232
160818	50050	967	177	257
161049	50100	967	193	216
161262	50150	967	186	234
161509	50200	967	220	202
161737	50250	967	193	219
161983	50300	967	201	203
162181	50350	968	181	252
162399	50400	968	205	229
162585	50450	968	175	268
162774	50500	968	177	264
163012	50550	968	197	210
163270	50600	968	225	193
163491	50650	968	190	226
163703	50700	968	186	235
163949	50750	968	203	203
164178	50800	968	211	218
164367	50850	968	177	264
164559	50900	968	178	260
164744	50950	968	175	270
165007	51000	968	225	190
165235	51050	968	193	219
165463	51100	968	195	219
165671	51150	968	185	240
165950	51200	968	234	179
166160	51250	972	185	238
166353	51300	972	179	259
166557	51350	972	178	245
166767	51400	972	203	238
166983	51450	972	189	231
167223	51500	972	199	208
167435	51550	972	188	235
167684	51600	972	224	200
167919	51650	972	197	212
168185	51700	972	215	187
168389	51750	972	192	245
168644	51800	972	240	196
168829	51850	972	178	270
169033	51900	972	187	245
169276	51950	972	201	205
169524	52000	972	223	201
169742	52050	972	191	229
169958	52100	972	190	231
170221	52150	972	210	190
170453	52200	973	215	215
170650	52250	973	182	253
170841	52300	973	180	261
171034	52350	973	183	259
171314	52400	973	235	178
171542	52450	973	196	219
171779	52500	973	200	210
171996	52550	973	192	230
172279	52600	973	238	176
172482	52650	973	185	246
172682	52700	973	184	250
172873	52750	973	180	261
173091	52800	973	210	229
173327	52850	973	199	211
173603	52900	973	217	181
173823	52950	973	193	227
174084	53000	973	231	191
174304	53050	973	193	227
174553	53100	973	205	200
174749	53150	978	183	255
174976	53200	978	214	220
175169	53250	978	184	259
175367	53300	978	184	252
175632	53350	978	211	188
175902	53400	978	234	185
176142	53450	978	203	208
176361	53500	978	195	228
176616	53550	978	210	196
176858	53600	978	221	206
177071	53650	978	192	234
177269	53700	978	185	252
177456	53750	978	180	267
177706	53800	978	226	200
177957	53850	978	206	199
178196	53900	978	203	209
178424	53950	978	198	219
178741	54000	978	253	157
178989	54050	978	206	201
179197	54100	979	190	240
179397	54150	979	186	250
179618	54200	979	212	226
179829	54250	979	190	236
180097	54300	979	209	186
180312	54350	979	193	232
180582	54400	979	237	185
180808	54450	979	197	221
181074	54500	979	214	187
181286	54550	982	192	235
181525	54600	982	221	209
181724	54650	982	187	251
181915	54700	982	184	261
182139	54750	982	197	223
182429	54800	982	244	172
182653	54850	982	198	223
182890	54900	982	203	210
183125	54950	982	202	212
183395	55000	982	235	185
183601	55050	982	190	242
183799	55100	982	186	252
183993	55150	982	185	257
184230	55200	982	220	210
184498	55250	982	216	186
184713	55300	982	194	232
184956	55350	982	206	205
185227	55400	982	240	184
185459	55450	982	201	215
185677	55500	983	194	229
185887	55550	983	192	238
186117	55600	983	219	217
186310	55650	983	184	259
186547	55700	983	204	210
186810	55750	983	213	190
187068	55800	983	234	193
187317	55850	983	209	200
187544	55900	983	201	220
187783	55950	983	206	209
188036	56000	983	232	197
188243	56050	983	191	241
188440	56100	983	186	253
188639	56150	983	188	251
188920	56200	983	242	177
189158	56250	983	204	210
189395	56300	983	204	210
189640	56350	983	208	204
189902	56400	983	236	190
190140	56450	983	203	210
190358	56500	984	197	229
190560	56550	984	190	247
190794	56600	984	221	213
191000	56650	984	191	242
191267	56700	984	216	187
191495	56750	984	201	219
191779	56800	984	246	176
192013	56850	984	204	213
192284	56900	984	219	184
192511	56950	984	201	220
192784	57000	984	231	183
192994	57050	984	193	238
193190	57100	984	188	255
193453	57150	984	216	190
193774	57200	984	248	155
193994	57250	984	198	227
194255	57300	984	216	191
194498	57350	984	209	205
194776	57400	984	244	179
194997	57450	984	198	226
195220	57500	984	201	224
195428	57550	984	194	240
195656	57600	984	220	219
195889	57650	984	205	214
196158	57700	984	220	185
196385	57750	984	203	220
196672	57800	984	247	174
196959	57850	984	221	174
197202	57900	984	209	205
197449	57950	984	211	202
197694	58000	987	229	204
197902	58050	987	194	240
198108	58100	987	193	242
198314	58150	987	194	242
198592	58200	987	243	179
198845	58250	987	214	197
